Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,William Hill (US),-210,170,Cleveland Cavaliers,Oklahoma City Thunder
Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,BetMGM,-450,300,Cleveland Cavaliers,Oklahoma City Thunder
Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,PointsBet (US),-210,175,Cleveland Cavaliers,Oklahoma City Thunder
Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,GTbets,-218,167,Cleveland Cavaliers,Oklahoma City Thunder
Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,Bovada,-425,285,Cleveland Cavaliers,Oklahoma City Thunder
Cleveland Cavaliers_Oklahoma City Thunder,2022-12-11T00:40:36.000Z,Live,Circa Sports,-477,349,Cleveland Cavaliers,Oklahoma City Thunder
Chicago Bulls_Dallas Mavericks,2022-12-11T01:10:53.000Z,Live,GTbets,-2433,1774,Chicago Bulls,Dallas Mavericks
Chicago Bulls_Dallas Mavericks,2022-12-11T01:10:53.000Z,Live,BetMGM,-10000,2200,Chicago Bulls,Dallas Mavericks
Chicago Bulls_Dallas Mavericks,2022-12-11T01:10:53.000Z,Live,PointsBet (US),-15625,5200,Chicago Bulls,Dallas Mavericks
Chicago Bulls_Dallas Mavericks,2022-12-11T01:10:53.000Z,Live,Betfair,-3333,2000,Chicago Bulls,Dallas Mavericks
Chicago Bulls_Dallas Mavericks,2022-12-11T01:10:53.000Z,Live,Bovada,-50000,1700,Chicago Bulls,Dallas Mavericks
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,FanDuel,172,-225,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,MyBookie.ag,140,-181,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,Betfair,205,-227,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,Barstool Sportsbook,175,-225,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,TwinSpires,175,-225,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,Unibet,175,-225,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,SugarHouse,175,-225,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,PointsBet (US),200,-245,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,FOX Bet,188,-278,Boston Celtics,Golden State Warriors
